,Name,Age,Position,Club,Nationality
0, M. Damsgaard,19,LM,Sampdoria,Denmark
1, L. Romo,25,CDM,Cruz Azul,Mexico
2, A. Gomez,32,CAM,Sevilla FC,Argentina
3, J. Doku,18,RW,Stade Rennais FC,Belgium
4, N. Molina,22,RM,Udinese,Argentina
5, G. Pandev,36,ST,Genoa,North Macedonia
6, B. Brereton,21,LW,Blackburn Rovers,Chile
7, R. Gosens,25,LM,Atalanta,Germany
8, H. Calhanoglu,26,CAM,Milan,Turkey
9, D. Malen,21,ST,PSV,Netherlands
10, J. Maehle,23,RM,Atalanta,Denmark
11, M. Almiron,26,CAM,Newcastle United,Paraguay
12, P. Daka,21,ST,FC Red Bull Salzburg,Zambia
13, M. Locatelli,22,CDM,Sassuolo,Italy
14, M. Depay,26,CF,Olympique Lyonnais,Netherlands
15, A. Sambi Lokonga,20,CM,RSC Anderlecht,Belgium
16, D. Dumfries,24,RB,PSV,Netherlands
17, R. Baku,22,RM,VfL Wolfsburg,Germany
18, E. Dennis,22,ST,1. FC Koln,Nigeria
19, C. Romero,22,CB,Atalanta,Argentina
20, A. Christensen,24,CB,Chelsea,Denmark
21, L. Messi,33,RW,FC Barcelona,Argentina
22, 09 Jaja,21,ST,Vitoria,Brazil
23, A. Isak,20,ST,Real Sociedad,Sweden
24, R. Gravenberch,18,CM,Ajax,Netherlands
25, P. Hojbjerg,24,CDM,Tottenham Hotspur,Denmark
26, E. Haaland,19,ST,Borussia Dortmund,Norway
27, A. Hlozek,17,ST,Sparta Praha,Czech Republic
28, J. Gvardiol,18,CB,Dinamo Zagreb,Croatia
29, R. De Paul,26,CM,Udinese,Argentina
30, Pedri,17,CM,FC Barcelona,Spain
31, N. Madueke,18,RM,PSV,England
32, E. Camavinga,17,CM,Stade Rennais FC,France
33, Pau Torres,23,CB,Villarreal CF,Spain
34, Cristiano Ronaldo,35,ST,Juventus,Portugal
35, J. Alvarez,20,RW,River Plate,Argentina
36, B. Gilmour,19,CM,Chelsea,Scotland
37, Adama Traore,24,RW,Wolverhampton Wanderers,Spain
38, 17 Jaja,30,ST,Sporting Lokeren,Brazil
39, J. Sancho,20,RM,Borussia Dortmund,England
40, B. White,22,CB,Brighton & Hove Albion,England
